actor_id,type,actor_id_type,new_actor_type,old_actor_type,actor_name,actor,actor_detail,abbreviation,short_actor_name,country_based,iso3c,iso3n,gwn,gwc,cowc,cown,region,ucdp_id,in_ucdp,acled_name,acled_other,alternative_names,additional_info,hyperlink
348,CON,CON_348,Country/State,Country/State,Serbia,Serbia,,SER,SER,Serbia,SRB,688.0,340.0,SER,,,Europe,49.0,Government of Serbia (Yugoslavia),Government of Serbia (2017-),Government of Serbia (2017-),Serbia | SERBIA | Post Serbia | Republic Serbia | REPUBLIC SERBIA | Serbia | Serbian Representatives | Serbian Republic Bosnia Herzegovina,Serbia is a Country/State in Europe. ,
350,CON,CON_350,Country/State,Country/State,Zimbabwe,Zimbabwe,,ZIM,ZIM,Zimbabwe,ZWE,716.0,552.0,ZIM,ZIM,552.0,Africa,101.0,Government of Zimbabwe (Rhodesia),Government of Zimbabwe (2017-),Government of Zimbabwe (2017-),Zimbabwe (Rhodesia) | ZIMBABWE | Republic Zimbabwe | Zimbabwe | Parliament Zimbabwe,Zimbabwe is a Country/State in Africa. ,
358,CON,CON_358,Country/State,Country/State,Somalia,Somalia,,SOM,SOM,Somalia,SOM,706.0,520.0,SOM,SOM,520.0,Africa,95.0,Government of Somalia,Government of Somalia (2017-),Government of Somalia (2004-2012) | Government of Somalia (2012-2017) | Government of Somalia (2017-) | Government of Somalia (2017-) Galmudug Administration | Government of Somalia (2017-) Puntland State | Government of Somaliland (2010-),Somalia | SOMALIA | Federal Republic Somalia | Republic Somalia | Somali | Somali Republic | Somalia | Somali Regional State | Somalia | Somali Federal Government | Somali Government | Federal Government Somalia | Federal Government of Somalia | FGS,Somalia is a Country/State in Africa. ,
386,IGO,IGO_386,Intergovernmental Organization,IGO,UN Secretary General,United Nations,UN Secretary General,UNSG,UNSG,,,,,,,,,,,,,António Guterres | United Nations SecretaryÃƒÂ¢Ã¢â€šÂ¬Ã‚ÂGeneral | UNSG | UNSRSG | UNSRSG Special Representative | UN Special Representative | United Nations General | United Nations SecretaryÃƒÂ¢Ã¢â€šÂ¬Ã‚ÂGeneral | United Nations Special Envoy | UNSG | UNSRSG Special Representative | UNSRSG | Special Representative Secretary - General | Group Friends UNSG | United Nations SecretaryÃƒÂ¢Ã¢â€šÂ¬Ã‚ÂGeneral | Antonio Guterres,"The Secretary-General of the United Nations (UNSG) is the chief administrative officer of the United Nations, and head of the United Nations Secretariat. They are included in the IGO type as they, and their special representatives, are representatives of the UN (an IGO). ",
391,IGO,IGO_391,Intergovernmental Organization,IGO,United Nations Secretariat,United Nations,United Nations Secretariat,UN Secretariat,UN Secretariat,,,,,,,,,,,,,United Nations Secretariat || Secretariat Of The United Nations || U.N. Secretariat || Un Secretariat | United Nations Secretariat | United Nations Secretariat United Nations Human Settlement Programme United Nations Development Programme | United Nations Secretariat  |  Secretariat Of The United Nations  |  U.N. Secretariat  |  Un Secretariat,"United Nations Secretariat (UN Secretariat) is an IGO, with affiliations to United Nations. They are also referred to as United Nations Secretariat || Secretariat Of The United Nations || U.N. Secretariat || Un Secretariat",
392,CON,CON_392,Country/State,Country/State,Malawi,Malawi,,MAW,MAW,Malawi,MWI,454.0,553.0,MAW,MAW,553.0,Africa,3912.0,Government of Malawi,Government of Malawi (2014-),Government of Malawi (2014-),Malawi | MALAWI | Republic Malawi,Malawi is a Country/State in Africa. ,
394,CON,CON_394,Country/State,Country/State,Romania,Romania,,,Romania,Romania,ROU,642.0,,,ROM,360.0,Europe,56.0,Government of Romania,Government of Romania (2021-),Government of Romania (2019-2020) | Government of Romania (2020-2021) | Government of Romania (2021-) | Government of Romania (2016-2019),Romania | ROMANIA,Romania is a Country/State in Europe. ,
395,CON,CON_395,Country/State,Country/State,Pakistan,Pakistan,,PAK,PAK,Pakistan,PAK,586.0,770.0,PAK,PAK,770.0,Asia,142.0,Government of Pakistan,Government of Pakistan (2018-2022),Government of Pakistan (2008-2013) | Government of Pakistan (2013-2018) | Government of Pakistan (2018-2022),Pakistan | PAKISTAN | Islamic Republic Pakistan | Pakistan | Pakistan | Government Islamic Republic | Government Islamic Republic Pakistan | Pakistani Government | Pakistani,Pakistan is a Country/State in Asia. ,
406,IGO,IGO_406,Intergovernmental Organization,IGO,North Atlantic Treaty Organization,North Atlantic Treaty Organization,,NATO,NATO,,,,,,,,,,,,,North Atlantic Treaty Organization || NATO || North Atlantic Treaty Organisation | NATO | North Atlantic Treaty Organization | North Atlantic Treaty Organisation | North Atlantic Treaty Organization | North Atlantic Treaty Organization Alija | North Atlantic Treaty Organization  |  NATO  |  North Atlantic Treaty Organisation | North Atlantic Treaty Org | North Atlantic Treaty Organization (NATO) | North Atlantic Treaty Organization  Alija,"North Atlantic Treaty Organization (NATO) is an IGO/miliary alliance, with affiliations to Global Defense / Security IGOs (International Government Organizations). It consists of 30 member states (28 European and 2 North American). They are also referred to as North Atlantic Treaty Organization || NATO || North Atlantic Treaty Organisation || North Atlantic Alliance",
419,CON,CON_419,Country/State,Country/State,Saudi Arabia,Saudi Arabia,,SAU,SAU,Saudi Arabia,SAU,682.0,670.0,SAU,SAU,670.0,Asia,122.0,Government of Saudi Arabia,Government of Saudi Arabia (2015-),Government of Saudi Arabia (2015-),Saudi Arabia | SAUDI ARABIA | Kingdom Saudi Arabia | Kingdom Saudi Arabia :,Saudi Arabia is a Country/State in Asia. ,
421,IGO,IGO_421,Intergovernmental Organization,IGO,European Community,European Community,,EC,EC,,,,,,,,,,,,,European Economic Community || European Community | European Community Monitoring Mission | ECMM | E.C.M.M | Mission of the European Community  | European Community | EUROPEAAN COMMUNITY MONITOR MISSION,"The European Community (EC) was an economic association formed by six European member countries in 1957, consisting of three communities that eventually were replaced by the European Union (EU) in 1993. ",
436,IGO,IGO_436,Intergovernmental Organization,IGO,European Commission,European Commission,,EU Commission,EU Commission,,,,,,,,,,,,,European Commission | European Commission | EUROPEAN COMMISSION | EU Commission | European Commission | Commission European Union | European Union  Delegation European Commission | Delegation of the European Commission,"European Commission (EC) is an IGO, with affiliations to European Union. It functions as the executive of the European Union. They are also referred to as European Commission || the Commission",
437,IGO,IGO_437,Intergovernmental Organization,IGO,World Bank,World Bank,,WB,WB,,,,,,,,,,,,,World Bank | World Bank | World Bank Group | WB | World Bank | IBRD | World Bank | International Bank for Reconstruction and Development (World Bank),"World Bank (WB) is an IGO, with affiliations to Development. They are also referred to as World Bank",
438,IGO,IGO_438,Intergovernmental Organization,IGO,International Monetary Fund,International Monetary Fund,,IMF,IMF,,,,,,,,,,,,,International Monetary Fund || IMF | Intl Monetary Fund | International Monetary Fund | Red Crescent Societies  International Fund Agricultural Development  International Labor Organization  International Monetary Fund  International Organization Migration  Multilateral Investment Guarantee Agency,"International Monetary Fund (IMF) is an IGO, with affiliations to Global Economic/Financial/Trade IGOs (International Government Organizations). They are also referred to as International Monetary Fund || IMF",
441,CON,CON_441,Country/State,Country/State,Belgium,Belgium,,BEL,BEL,Belgium,BEL,56.0,211.0,BEL,BEL,211.0,Europe,31.0,Government of Belgium,Government of Belgium (2019-2020),Government of Belgium (2019-2020),Belgium | BELGIUM | Belgium | BELGIUM | Belgium United States America | Kingdom Belgium | Kingdom of Belgium ,Belgium is a Country/State in Europe. ,
453,NGO,NGO_453,Non-governmental Organization,NGO,Aga Khan Foundation,Aga Khan Foundation,,,Aga Khan Foundation,internationally,,,,,,,,,,,,,,
458,CON,CON_458,Country/State,Country/State,South Korea,South Korea,,ROK,ROK,"Korea, Republic of",KOR,410.0,732.0,ROK,ROK,732.0,Asia,139.0,Government of South Korea,Government of South Korea (2017-2022),Government of South Korea (2017-2022),"Korea, Republic of | KOREA, REPUBLIC OF | Korea | Republic Korea",South Korea is a Country/State in Asia. ,
459,IGO,IGO_459,Intergovernmental Organization,IGO,United Nations Children's Fund,United Nations,United Nations Children's Fund,UNICEF,UNICEF,,,,,,,,,,,,,UNICEF || United Nations Children'S Fund || U.N. Children Fund || United Nations Children Fund || U.N. Children'S Fund || Un Children'S Fund | UNICEF | UNICEF Philippines | UNICEF  |  United Nations Children'S Fund  |  U.N. Children Fund  |  United Nations Children Fund  |  U.N. Children'S Fund  |  Un Children'S Fund,"United Nations Children's Fund (UNICEF) is an IGO, with affiliations to Global Human Rights IGOs (United Nations). They are also referred to as UNICEF || United Nations Children'S Fund || U.N. Children Fund || United Nations Children Fund || U.N. Children'S Fund || Un Children'S Fund",
467,POL,POL_467,Political Party,Political Party,Social Democratic Labour Party,Social Democratic Labour Party,,SDLP,SDLP,Northern Ireland,GBR-NI,,,,,,,,,,,,"Social Democratic Labour Party (SDLP) is a Political Party, based in Northern Ireland. ",
468,POL,POL_468,Political Party,Political Party,Progressive Unionist Party,Progressive Unionist Party,,PUP,PUP,Northern Ireland,GBR-NI,,,,,,,,,,,,"Progressive Unionist Party (PUP) is a Political Party, based in Northern Ireland. ",
469,POL,POL_469,Political Party,Political Party,Ulster Democratic Party,Ulster Democratic Party,,UDP,UDP,Northern Ireland,GBR-NI,,,,,,,,,,,,"Ulster Democratic Party (UDP) is a Political Party, based in Northern Ireland. ",
470,POL,POL_470,Political Party,Political Party,Ulster Unionist Party,Ulster Unionist Party,,UUP,UUP,Northern Ireland,GBR-NI,,,,,,,,,,,,"Ulster Unionist Party (UUP) is a Political Party, based in Northern Ireland. ",
471,POL,POL_471,Political Party,Political Party,NI Labour Coalition,NI Labour Coalition,,,NI Labour Coalition,Northern Ireland,GBR-NI,,,,,,,,,,,,"NI Labour Coalition  is a Political Party, based in Northern Ireland. ",
472,POL,POL_472,Political Party,Political Party,Sinn Fein,Sinn Fein,,SF,SF,Northern Ireland,GBR-NI,,,,,,,,,,,,"Sinn Fein (SF) is a Political Party, based in Northern Ireland. ",
473,POL,POL_473,Political Party,Political Party,The Alliance Party of Northern Ireland,The Alliance Party of Northern Ireland,,AP,AP,Northern Ireland,GBR-NI,,,,,,,,,,,,"The Alliance Party of Northern Ireland (AP) is a Political Party, based in Northern Ireland. ",
480,IGO,IGO_480,Intergovernmental Organization,IGO,UNOMIG,UN Mission,UNOMIG,UNOMIG,UNOMIG,,,,,,,,,,,,,United Nations Observer Mission in Georgia,UNOMIG (United Nations Observer Mission in Georgia) is a UN Mission. ,
481,CON,CON_481,Country/State,Country/State,Madagascar,Madagascar,,MAG,MAG,Madagascar,MDG,450.0,580.0,MAG,MAG,580.0,Africa,106.0,Government of Madagascar,Government of Madagascar (2014-2019),Government of Madagascar (2014-2019),Madagascar (Malagasy) | MADAGASCAR | Madagascar | Madagascar Page 1 | Madagascar Pour l'Organisation Internationale de la Francophonie Edem Kodjo Pour | Madagascar Republic - ABDULKADER | Republic Madagascar,Madagascar is a Country/State in Africa. ,
482,CON,CON_482,Country/State,Country/State,Mauritius,Mauritius,,MAS,MAS,Mauritius,MUS,480.0,590.0,MAS,MAS,590.0,Africa,,,,,Mauritius | MAURITIUS | Mauritius,Mauritius is a Country/State in Africa. ,
486,CON,CON_486,Country/State,Country/State,Qatar,Qatar,,QAT,QAT,Qatar,QAT,634.0,694.0,QAT,QAT,694.0,Asia,127.0,Government of Qatar,Government of Qatar (2013-),Government of Qatar (2013-),Qatar | QATAR | State Qatar,Qatar is a Country/State in Asia. ,
548,POL,POL_548,Political Party,Political Party,Democratic Unionist Party,Democratic Unionist Party,,DUP,DUP,Northern Ireland,GBR-NI,,,,,,,,,,,,"Democratic Unionist Party (DUP) is a Political Party, based in Northern Ireland. ",
551,CON,CON_551,Country/State,Country/State,Myanmar,Myanmar,,MYA,MYA,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,144.0,Government of Myanmar (Burma),Government of Myanmar (2016-),Government of Myanmar (2011-2016) | Government of Myanmar (2016-) | Government of Myanmar (2021-) State Administration Council,Myanmar (Burma) | MYANMAR | Myanmar | Burma | Myanmar (Burma) | Myanmar Union | Republic Union Burma,Myanmar is a Country/State in Asia. ,
553,ARM,ARM_553,Armed Organization,Armed Group,Chin National Front,Chin National Front,,CNF,CNF,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,,,CNF/CNA: Chin National Front/Chin National Army,, CNF | Chin National Front |  Chin National,"Chin National Front (CNF) are an Armed Organization, based in Myanmar. ",
555,ARM,ARM_555,Armed Organization,Armed Group,New Mon State Party,New Mon State Party,,NMSP,NMSP,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,190.0,NMSP,NMSP/MNLA: New Mon State Party/Mon National Liberation Army,, New Mon State Party,"New Mon State Party (NMSP) are an Armed Organization, based in Myanmar. ",
562,CON,CON_562,Country/State,Country/State,Turkey,Turkey,,TUR,TUR,Turkey,TUR,792.0,640.0,TUR,TUR,640.0,Asia,115.0,Government of Turkey,Government of Turkey (2016-),Government of Turkey (2002-2016) | Government of Turkey (2016-),Turkey (Ottoman Empire) | TURKEY | Republic Turkey | Republic of Turkey | Turke | Turkey | Republic Türkiye | Türkiye,Turkey is a Country/State in Asia. ,
563,CON,CON_563,Country/State,Country/State,Kuwait,Kuwait,,KUW,KUW,Kuwait,KWT,414.0,690.0,KUW,KUW,690.0,Asia,125.0,Government of Kuwait,Government of Kuwait (2020-),Government of Kuwait (2006-2020) | Government of Kuwait (2020-),Kuwait | KUWAIT,Kuwait is a Country/State in Asia. ,
585,CON,CON_585,Country/State,Country/State,Costa Rica,Costa Rica,,COS,COS,Costa Rica,CRI,188.0,94.0,COS,COS,94.0,Americas,15.0,Government of Costa Rica,Government of Costa Rica (2022-),Government of Costa Rica (2014-2022) | Government of Costa Rica (2022-),Costa Rica | COSTA RICA | COSTA RICA | Costa Rica | Republic Costa Rica,Costa Rica is a Country/State in Americas. ,
586,IGO,IGO_586,Intergovernmental Organization,IGO,Shanghai Cooperation Organization,Shanghai Cooperation Organization,,SCO,SCO,,,,,,,,,,,,,Shanghai Cooperation Organization || SCO || Shanghai Cooperation Organisation |  SCO  |  Shanghai Cooperation Organisation,"The Shanghai Cooperation Organization (SCO) is an IGO, with affiliations to Regional Defense / Security IGOs (International Government Organizations). It is also referred to as Shanghai Cooperation Organization || SCO || Shanghai Cooperation Organisation",
587,CON,CON_587,Country/State,Country/State,Albania,Albania,,ALB,ALB,Albania,ALB,8.0,339.0,ALB,ALB,339.0,Europe,45.0,Government of Albania,Government of Albania (2013-),Government of Albania (2013-),Albania | ALBANIA | Republic Albania | Republic Albania,Albania is a Country/State in Europe. ,
588,CON,CON_588,Country/State,Country/State,Austria,Austria,,AUS,AUS,Austria,AUT,40.0,305.0,AUS,AUS,305.0,Europe,39.0,Government of Austria,Government of Austria (2019-),Government of Austria (2019-),Austria | AUSTRIA | Republic Austria | Austria | AUSTRIA | Republic of Austria,Austria is a Country/State in Europe. ,
589,CON,CON_589,Country/State,Country/State,Bulgaria,Bulgaria,,BUL,BUL,Bulgaria,BGR,100.0,355.0,BUL,BUL,355.0,Europe,54.0,Government of Bulgaria,Government of Bulgaria (2017-),Government of Bulgaria (2017-),Bulgaria | BULGARIA | Bulgaria | Republic Bulgaria,Bulgaria is a Country/State in Europe. ,
590,CON,CON_590,Country/State,Country/State,Tunisia,Tunisia,,TUN,TUN,Tunisia,TUN,788.0,616.0,TUN,TUN,616.0,Africa,110.0,Government of Tunisia,Government of Tunisia (2019-),Government of Tunisia (2011-2014) | Government of Tunisia (2014-2019) | Government of Tunisia (2019-),Tunisia | TUNISIA | Republic Tunisia,Tunisia is a Country/State in Africa. ,
591,CON,CON_591,Country/State,Country/State,United Arab Emirates,United Arab Emirates,,UAE,UAE,United Arab Emirates,ARE,784.0,696.0,UAE,UAE,696.0,Asia,128.0,Government of United Arab Emirates,Government of the United Arab Emirates (2004-),Government of the United Arab Emirates (2004-),United Arab Emirates | UNITED ARAB EMIRATES | United Arab Emirates | UAE,United Arab Emirates is a Country/State in Asia. ,
592,CON,CON_592,Country/State,Country/State,Slovakia,Slovakia,,SLO,SLO,Slovakia,SVK,703.0,317.0,SLO,SLO,317.0,Europe,43.0,Government of Slovakia,Government of Slovakia (2020-),Government of Slovakia (2012-2020) | Government of Slovakia (2020-),Slovakia | SLOVAKIA | Slovak Republic | Slovakia,Slovakia is a Country/State in Europe. ,
593,CON,CON_593,Country/State,Country/State,Sweden,Sweden,,SWD,SWD,Sweden,SWE,752.0,380.0,SWD,SWD,380.0,Europe,66.0,Government of Sweden,Government of Sweden (2019-),Government of Sweden (2019-),Sweden | SWEDEN | Kingdom Sweden | SWEDEN | Sweden,Sweden is a Country/State in Europe. ,
594,CON,CON_594,Country/State,Country/State,Uruguay,Uruguay,,URU,URU,Uruguay,URY,858.0,165.0,URU,URU,165.0,Americas,27.0,Government of Uruguay,Government of Uruguay (2020-),Government of Uruguay (2020-),Uruguay | URUGUAY | Oriental Republic Uruguay,Uruguay is a Country/State in Americas. ,
595,NGO,NGO_595,Non-governmental Organization,NGO,Aga Khan Development Network,Aga Khan Development Network,,,Aga Khan Development Network,internationally,,,,,,,,,,,,,,
596,IGO,IGO_596,Intergovernmental Organization,IGO,Islamic Development Bank,Islamic Development Bank,,ISDB,ISDB,,,,,,,,,,,,,Islamic Development Bank || ISDB | Islamic Development Bank | Islamic Development Bank (IsDB),"Islamic Development Bank (ISDB) is an IGO, with affiliations to Global Development IGOs (International Government Organizations). They are also referred to as Islamic Development Bank || ISDB",
597,IGO,IGO_597,Intergovernmental Organization,IGO,Economic Cooperation Organization,Economic Cooperation Organization,,ECO,ECO,,,,,,,,,,,,,Economic Cooperation Organization || Economic Cooperation Organisation |  Economic Cooperation Organisation | Economic Cooperation Organization | Economic Cooperation Organization (ECO),"Economic Cooperation Organization (ECO) is an IGO, with affiliations to Regional Economic/Financial/Trade IGOs (International Government Organizations). They are also referred to as Economic Cooperation Organization || Economic Cooperation Organisation",
598,IGO,IGO_598,Intergovernmental Organization,IGO,Collective Security Treaty Organization,Collective Security Treaty Organization,,CSTO,CSTO,,,,,,,,,,,,,Collective Security Treaty Organization || Collective Security Treaty Organisation |  Collective Security Treaty Organisation,"The Collective Security Treaty Organization (CSTO) is an IGO/military alliance consisting of six post-Soviet states: Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia and Tajikistan. It is also referred to as Collective Security Treaty Organization || Collective Security Treaty Organisation",
599,IGO,IGO_599,Intergovernmental Organization,IGO,Conference on Interaction and Confidence-Building Measures in Asia (CICA),Conference on Interaction and Confidence-Building Measures in Asia (CICA),,CICA,CICA,,,,,,,,,,,,, | Conference on Interaction and Confidence-Building Measures in Asia | Conference on Interaction and Confidence-Building Measures in Asia (CICA),"The Conference on Interaction and Confidence-Building Measures in Asia (CICA) is an IGO. It aims to enhance cooperation towards promoting peace, security and stability in Asia. It has 28 member states",
600,IGO,IGO_600,Intergovernmental Organization,IGO,Asian Development Bank,Asian Development Bank,,ADB,ADB,,,,,,,,,,,,,ADB || Asian Development Bank | ,"Asian Development Bank (ADB) is an IGO, with affiliations to Regional Development IGOs (International Government Organizations). They are also referred to as ADB || Asian Development Bank",
601,CON,CON_601,Country/State,Country/State,Iceland,Iceland,,ICE,ICE,Iceland,ISL,352.0,395.0,ICE,ICE,395.0,Europe,69.0,Government of Iceland,Government of Iceland (2017-),Government of Iceland (2017-),Iceland | ICELAND | Iceland | Republic Iceland,Iceland is a Country/State in Europe. ,
602,CON,CON_602,Country/State,Country/State,Hungary,Hungary,,HUN,HUN,Hungary,HUN,348.0,310.0,HUN,HUN,310.0,Europe,40.0,Government of Hungary,Government of Hungary (2010-),Government of Hungary (2010-),Hungary | HUNGARY | Hungary | Republic Hungary,Hungary is a Country/State in Europe. ,
603,CON,CON_603,Country/State,Country/State,Poland,Poland,,POL,POL,Poland,POL,616.0,290.0,POL,POL,290.0,Europe,38.0,Government of Poland,Government of Poland (2015-),Government of Poland (2015-),Poland | POLAND | POL | Poland | Republic Poland | Republic of Poland ,Poland is a Country/State in Europe. ,
604,CON,CON_604,Country/State,Country/State,Denmark,Denmark,,DEN,DEN,Denmark,DNK,208.0,390.0,DEN,DEN,390.0,Europe,68.0,Government of Denmark,Government of Denmark (2019-),Government of Denmark (2019-),Denmark | DENMARK | Denmark | DENMARK | Kingdom Denmark,Denmark is a Country/State in Europe. ,
605,CON,CON_605,Country/State,Country/State,Estonia,Estonia,,EST,EST,Estonia,EST,233.0,366.0,EST,EST,366.0,Europe,58.0,Government of Estonia,Government of Estonia (2021-),Government of Estonia (2021-),Estonia | ESTONIA | Estonia | Republic Estonia,Estonia is a Country/State in Europe. ,
606,CON,CON_606,Country/State,Country/State,Oman,Oman,,OMA,OMA,Oman,OMN,512.0,698.0,OMA,OMA,698.0,Asia,129.0,Government of Oman,Government of Oman (2020-),Government of Oman (1970-2020) | Government of Oman (2020-),Oman | OMAN,Oman is a Country/State in Asia. ,
607,CON,CON_607,Country/State,Country/State,Montenegro,Montenegro,,MNG,MNG,Montenegro,MNE,499.0,341.0,MNG,MNG,341.0,Europe,46.0,Government of Montenegro,Government of Montenegro (2022-),Government of Montenegro (2022-),Montenegro | MONTENEGRO | Montenegro,Montenegro is a Country/State in Europe. ,
608,CON,CON_608,Country/State,Country/State,Mongolia,Mongolia,,MON,MON,Mongolia,MNG,496.0,712.0,MON,MON,712.0,Asia,136.0,Government of Mongolia,Government of Mongolia (2016-),Government of Mongolia (2016-),Mongolia | MONGOLIA | Mongolia | People Republic Mongolia,Mongolia is a Country/State in Asia. ,
609,CON,CON_609,Country/State,Country/State,Cyprus,Cyprus,,CYP,CYP,Cyprus,CYP,196.0,352.0,CYP,CYP,352.0,Asia,53.0,Government of Cyprus,Government of Cyprus (2013-),Government of Cyprus (2013-),Cyprus | CYPRUS | Cyprus,Cyprus is a Country/State in Asia. ,
610,CON,CON_610,Country/State,Country/State,North Macedonia,North Macedonia,,MAC,MAC,North Macedonia,MKD,807.0,343.0,MAC,MAC,343.0,Europe,47.0,Government of North Macedonia,Government of North Macedonia (2017-),Government of North Macedonia (2017-),"Macedonia (Former Yugoslav Republic of) | MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF | Macedonia | Republic Macedonia | Macedonia | FYROM ",North Macedonia is a Country/State in Europe. ,
611,CON,CON_611,Country/State,Country/State,Luxembourg,Luxembourg,,LUX,LUX,Luxembourg,LUX,442.0,212.0,LUX,LUX,212.0,Europe,32.0,Government of Luxembourg,Government of Luxembourg (2013-),Government of Luxembourg (2013-),Luxembourg | LUXEMBOURG | Luxembourg,Luxembourg is a Country/State in Europe. ,
612,CON,CON_612,Country/State,Country/State,Lithuania,Lithuania,,LIT,LIT,Lithuania,LTU,440.0,368.0,LIT,LIT,368.0,Europe,60.0,Government of Lithuania,Government of Lithuania (2020-),Government of Lithuania (2020-),Lithuania | LITHUANIA | Lithuania | Republic Lithuania,Lithuania is a Country/State in Europe. ,
613,CON,CON_613,Country/State,Country/State,Liechtenstein,Liechtenstein,,,Liechtenstein,Liechtenstein,LIE,438.0,,,LIE,223.0,Europe,,,,,Liechtenstein | LIECHTENSTEIN,Liechtenstein is a Country/State in Europe. ,
614,CON,CON_614,Country/State,Country/State,Malta,Malta,,MLT,MLT,Malta,MLT,470.0,338.0,MLT,MLT,338.0,Europe,,,Government of Malta (2013-),Government of Malta (2013-),Malta | MALTA | Malta | Maltese Cross | Republic Malta,Malta is a Country/State in Europe. ,
615,CON,CON_615,Country/State,Country/State,Latvia,Latvia,,LAT,LAT,Latvia,LVA,428.0,367.0,LAT,LAT,367.0,Europe,59.0,Government of Latvia,Government of Latvia (2019-),Government of Latvia (2019-),Latvia | LATVIA | Republic Latvia | Latvia,Latvia is a Country/State in Europe. ,
620,ARM,ARM_620,Armed Organization,Armed Group,Sudan People Liberation Movement/Army - In Opposition,Sudan People Liberation Movement/Army - In Opposition,,SPLM / SPLA - IO,SPLM / SPLA - IO,Sudan,SDN,736.0,625.0,SUD,SUD,625.0,Africa,4226.0,SPLM/A - IO,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,SPLM-In Opposition-Kitgweng: Sudan People's Liberation Movement-In Opposition (Kitgweng faction)   SPLM-In Opposition-Aguelek: Sudan People's Liberation Movement-In Opposition (Aguelek Faction)    SPLM-N-Abdelaziz: Sudan People's Liberation Movement (North) (Abdelaziz al-Hilu faction) ,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition (Splinter Faction) | SPLM-N-Agar: Sudan People's Liberation Movement (North) (Malik Agar faction) | SPLM-In Opposition-Fertit Lions: Sudan People's Liberation Movement-In Opposition (Fertit Lions Faction) | SPLM-In Opposition-Deng Gai: Sudan People's Liberation Movement-In Opposition (Taban Deng Gai Faction) | SPLM-In Opposition-Welebe: Sudan People's Liberation Movement-In Opposition (Wesley Welebe Faction) | SPLM - Opposition | Sudan People ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Liberation Movement/ Army Opposition | SPLM / - IO Angelina Jany Teny South Sudan Opposition Alliance | SPLM - IO | SPLM / - IO,"Sudan People Liberation Movement/Army - In Opposition (SPLM / SPLA - IO) are an Armed Organization, based in Sudan. ",
621,CON,CON_621,Country/State,Country/State,Honduras,Honduras,,HON,HON,Honduras,HND,340.0,91.0,HON,HON,91.0,Americas,12.0,Government of Honduras,Government of Honduras (2022-),Government of Honduras (2010-2022) | Government of Honduras (2022-),Honduras | HONDURAS | Honduras | Republic Honduras,Honduras is a Country/State in Americas. ,
626,ARM,ARM_626,Armed Organization,Armed Group,Former Detainees,Former Detainees,,SPLM-FD,SPLM-FD,Sudan and South Sudan,SDN | SSD,,,,,,,,,SPLM-FD: Sudan People's Liberation Movement (Former Detainees),,,"Former Detainees (SPLM-FD) are an Armed Organization, based in Sudan and South Sudan. ",
636,CON,CON_636,Country/State,Country/State,Greece,Greece,,GRC,GRC,Greece,GRC,300.0,350.0,GRC,GRC,350.0,Europe,52.0,Government of Greece,Government of Greece (2019-),Government of Greece (2015-2019) | Government of Greece (2019-),Greece | GREECE | Greece,Greece is a Country/State in Europe. ,
637,CON,CON_637,Country/State,Country/State,Czechia,Czechia,,CZR,CZR,Czechia,CZE,203.0,316.0,CZR,CZR,316.0,Europe,42.0,Government of Czech Republic,Government of the Czech Republic (2021-),Government of the Czech Republic (2018-2021) | Government of the Czech Republic (2021-),Czech Republic | CZECH REPUBLIC | Czech Republic,Czechia is a Country/State in Europe. ,
638,IGO,IGO_638,Intergovernmental Organization,IGO,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,,EBRD,EBRD,,,,,,,,,,,,,European Bank For Reconstruction And Development || EBRD | European Bank for Reconstruction & Development | European Bank for Reconstruction and Development (EBRD),"European Bank for Reconstruction and Development (EBRD) is an IGO, with affiliations to Regional Development IGOs (International Government Organizations). They are also referred to as European Bank For Reconstruction And Development || EBRD",
639,IGO,IGO_639,Intergovernmental Organization,IGO,Council of Europe,Council of Europe,,COE,COE,,,,,,,,,,,,,Council Of Europe | Council of Europe | Council of Europe,"Council of Europe (COE) is an IGO, with affiliations to Regional Diplomatic IGOs (International Government Organizations). They are also referred to as Council Of Europe",
640,IGO,IGO_640,Intergovernmental Organization,IGO,Office of the United Nations High Commissioner for Human Rights,United Nations,Office of the United Nations High Commissioner for Human Rights,UNHCHR,UNHCHR,,,,,,,,,,,,,Office Of The United Nations High Commissioner For Human Rights || OHCHR || High Commissioner For Human Rights | Office of the United Nations High Commissioner for Human Rights | UNHCHR | Office Of The United Nations High Commissioner For Human Rights  |  OHCHR  |  High Commissioner For Human Rights,"Office of the United Nations High Commissioner for Human Rights (UNHCHR) is an IGO, with affiliations to Global Human Rights IGOs (United Nations Human Rights Council). They are also referred to as Office Of The United Nations High Commissioner For Human Rights || OHCHR || High Commissioner For Human Rights",
